file_path	semantic_profile	entropy_char	complexity_char	function_count_char	dependency_char	risk_char	priority_char	coupling_char	cohesion_char
openhcs/tui/components.py	4C99H3ML	4	C	9	9	H	3	M	L
openhcs/tui/__init__.py	4A01M3LL	4	A	0	1	M	3	L	L
openhcs/tui/pipeline_editor.py	4F99H2HL	4	F	9	9	H	2	H	L
openhcs/tui/layout_components.py	3A87M3LL	3	A	8	7	M	3	L	L
openhcs/tui/file_browser.py	4F99H2ML	4	F	9	9	H	2	M	L
openhcs/tui/tui_launcher.py	4E99H2ML	4	E	9	9	H	2	M	L
openhcs/tui/plate_manager_refactored.py	4B99M3ML	4	B	9	9	M	3	M	L
openhcs/tui/dual_step_func_editor.py	4F99H2HL	4	F	9	9	H	2	H	L
openhcs/tui/__main__.py	4C99H2ML	4	C	9	9	H	2	M	L
openhcs/tui/menu_handlers.py	4A93M3LL	4	A	9	3	M	3	L	L
openhcs/tui/menu_bar.py	4F99H2HL	4	F	9	9	H	2	H	L
openhcs/tui/utils.py	4B66M3LL	4	B	6	6	M	3	L	L
openhcs/tui/function_pattern_editor.py	4F99H2HL	4	F	9	9	H	2	H	L
openhcs/tui/plate_manager_core.py	4F99H2HL	4	F	9	9	H	2	H	L
openhcs/tui/tui_architecture.py	4F99H2HL	4	F	9	9	H	2	H	L
openhcs/tui/commands.py	4F99H2HH	4	F	9	9	H	2	H	H
openhcs/tui/status_bar.py	4E99H2ML	4	E	9	9	H	2	M	L
openhcs/tui/menu_structure.py	4A00M3LL	4	A	0	0	M	3	L	L
openhcs/tui/views/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/tui/views/plate_manager_view.py	3C99M3ML	3	C	9	9	M	3	M	L
openhcs/tui/views/menu_view.py	3C99M3ML	3	C	9	9	M	3	M	L
openhcs/tui/dialogs/global_settings_editor.py	4F99H2ML	4	F	9	9	H	2	M	L
openhcs/tui/dialogs/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/tui/dialogs/manager.py	3B63M3LL	3	B	6	3	M	3	L	L
openhcs/tui/dialogs/plate_config_editor.py	4F99H2ML	4	F	9	9	H	2	M	L
openhcs/tui/dialogs/plate_dialog_manager.py	3F99H2ML	3	F	9	9	H	2	M	L
openhcs/tui/dialogs/help_dialog.py	4C96H3LL	4	C	9	6	H	3	L	L
openhcs/tui/dialogs/base.py	3B65M3LL	3	B	6	5	M	3	L	L
openhcs/tui/controllers/__init__.py	4A04M3LL	4	A	0	4	M	3	L	L
openhcs/tui/controllers/application_controller.py	3C99H3ML	3	C	9	9	H	3	M	L
openhcs/tui/controllers/pattern_editor_controller.py	3D96H2LL	3	D	9	6	H	2	L	L
openhcs/tui/controllers/plate_manager_controller.py	3C97H3LL	3	C	9	7	H	3	L	L
openhcs/tui/controllers/layout_controller.py	3B99M2HL	3	B	9	9	M	2	H	L
openhcs/tui/controllers/menu_controller.py	3C95M3LL	3	C	9	5	M	3	L	L
openhcs/tui/components/interactive_list_item.py	4D99H3ML	4	D	9	9	H	3	M	L
openhcs/tui/components/__init__.py	4A06M3LL	4	A	0	6	M	3	L	L
openhcs/tui/components/framed_button.py	3A36M3LH	3	A	3	6	M	3	L	H
openhcs/tui/components/spinner.py	4B99M3ML	4	B	9	9	M	3	M	L
openhcs/tui/components/loading_screen.py	4B99M3ML	4	B	9	9	M	3	M	L
openhcs/tui/components/grouped_dropdown.py	4B99M3ML	4	B	9	9	M	3	M	L
openhcs/tui/components/parameter_editor.py	4C99M3ML	4	C	9	9	M	3	M	L
openhcs/tui/commands/__init__.py	4A04M3LL	4	A	0	4	M	3	L	L
openhcs/tui/commands/pipeline_commands.py	3E37H2LL	3	E	3	7	H	2	L	L
openhcs/tui/commands/simplified_commands.py	3E25H2LL	3	E	2	5	H	2	L	L
openhcs/tui/commands/registry.py	3C73M3LL	3	C	7	3	M	3	L	L
openhcs/tui/commands/dialog_commands.py	4C38M3LH	4	C	3	8	M	3	L	H
openhcs/tui/commands/base_command.py	3C96M3LL	3	C	9	6	M	3	L	L
openhcs/tui/commands/plate_commands.py	3C39M3MH	3	C	3	9	M	3	M	H
openhcs/tui/services/plate_manager_service.py	3C98M3LL	3	C	9	8	M	3	L	L
openhcs/tui/services/menu_service.py	4C95M2LL	4	C	9	5	M	2	L	L
openhcs/tui/services/external_editor_service.py	4C59M3MH	4	C	5	9	M	3	M	H
openhcs/tui/services/dialog_service.py	3C97M4LL	3	C	9	7	M	4	L	L
openhcs/tui/services/plate_validation.py	3C79M3MH	3	C	7	9	M	3	M	H
openhcs/tui/services/pattern_editing_service.py	3E95H2LL	3	E	9	5	H	2	L	L
openhcs/tui/services/command_service.py	3D95H2LH	3	D	9	5	H	2	L	H
openhcs/tui/utils/dialog_helpers.py	4B96M3LL	4	B	9	6	M	3	L	L
openhcs/tui/utils/__init__.py	4A02M3LL	4	A	0	2	M	3	L	L
openhcs/tui/utils/safe_formatting.py	4C96H3LL	4	C	9	6	H	3	L	L
openhcs/tui/utils/error_handling.py	3C54M3LH	3	C	5	4	M	3	L	H
