file_path	function_name	complexity	lines	args
openhcs/tui/dual_step_func_editor.py	__init__	1	29	3
openhcs/tui/dual_step_func_editor.py	_get_text_fragments	2	9	1
openhcs/tui/dual_step_func_editor.py	_func_pattern_changed	2	7	1
openhcs/tui/dual_step_func_editor.py	_initialize_ui	3	82	1
openhcs/tui/dual_step_func_editor.py	_get_current_view_title	2	4	1
openhcs/tui/dual_step_func_editor.py	_create_step_settings_view	15	132	1
openhcs/tui/dual_step_func_editor.py	_create_func_pattern_view	2	10	1
openhcs/tui/dual_step_func_editor.py	_switch_view	2	6	2
openhcs/tui/dual_step_func_editor.py	_update_button_styles	3	6	1
openhcs/tui/dual_step_func_editor.py	_something_changed	2	11	3
openhcs/tui/dual_step_func_editor.py	_update_step_parameter	4	19	3
openhcs/tui/dual_step_func_editor.py	_update_enum_parameter	2	8	3
openhcs/tui/dual_step_func_editor.py	_convert_widget_value	5	19	4
openhcs/tui/dual_step_func_editor.py	_detect_changes	1	5	1
openhcs/tui/dual_step_func_editor.py	_detect_step_settings_changes	5	22	1
openhcs/tui/dual_step_func_editor.py	_detect_func_pattern_changes	1	4	1
openhcs/tui/dual_step_func_editor.py	_update_save_button_state	2	5	2
openhcs/tui/dual_step_func_editor.py	_save_changes	12	54	1
openhcs/tui/dual_step_func_editor.py	_close_editor	1	5	1
openhcs/tui/dual_step_func_editor.py	container	2	5	1
openhcs/tui/dual_step_func_editor.py	get_buttons_container	1	15	1
openhcs/tui/dual_step_func_editor.py	shutdown	1	4	1
openhcs/tui/dual_step_func_editor.py	_load_step_object	6	40	1
openhcs/tui/dual_step_func_editor.py	_save_step_object_as	5	38	1
openhcs/tui/dual_step_func_editor.py	_reset_step_parameter_field	10	39	3
openhcs/tui/dual_step_func_editor.py	get_current_view_container	2	28	0
openhcs/tui/dual_step_func_editor.py	new_mouse_handler	1	4	1
