file_path	entropy	error_count	lines	complexity	function_count	dependency_count	semantic_fingerprint
openhcs/tui/components.py	113.16	2	267	18	14	9	1d23949e
openhcs/tui/__init__.py	118.87	0	14	1	0	1	6f44e3ef
openhcs/tui/pipeline_editor.py	110.76	22	790	97	29	18	a37bd0c3
openhcs/tui/layout_components.py	106.66	0	191	4	8	7	0359a380
openhcs/tui/file_browser.py	111.65	9	547	75	28	14	3e403b7b
openhcs/tui/tui_launcher.py	111.29	20	388	47	7	14	4d5f0b4b
openhcs/tui/dual_step_func_editor.py	110.91	18	652	93	27	17	2fdd1ca5
openhcs/tui/__main__.py	119.94	4	161	16	1	14	e0af9b7d
openhcs/tui/menu_handlers.py	111.03	0	140	2	18	3	e8e1dd59
openhcs/tui/menu_bar.py	111.79	16	1218	116	69	23	99d083da
openhcs/tui/utils.py	111.85	1	114	5	6	6	4c218052
openhcs/tui/function_pattern_editor.py	111.74	9	915	93	40	16	fcec18ac
openhcs/tui/plate_manager_core.py	111.54	22	1068	145	50	24	dd4ae51f
openhcs/tui/tui_architecture.py	112.92	18	1169	100	48	31	9d9652f7
openhcs/tui/commands.py	114.23	36	789	105	3	21	49473fcf
openhcs/tui/status_bar.py	116.86	9	496	38	31	14	946c8633
openhcs/tui/menu_structure.py	114.19	2	99	1	0	0	d1e16884
openhcs/tui/dialogs/global_settings_editor.py	111.06	14	386	85	14	11	7e562a13
openhcs/tui/dialogs/__init__.py	113.92	0	15	1	0	2	e5449207
openhcs/tui/dialogs/manager.py	106.47	0	104	6	6	3	83a120d2
openhcs/tui/dialogs/plate_config_editor.py	113.30	17	317	48	15	14	497de9f4
openhcs/tui/dialogs/plate_dialog_manager.py	109.55	3	563	56	23	12	31e4665e
openhcs/tui/dialogs/help_dialog.py	113.81	0	165	16	4	6	57336924
openhcs/tui/dialogs/base.py	108.04	0	110	5	6	5	275c46fd
openhcs/tui/components/interactive_list_item.py	111.56	0	230	21	15	12	7cf46a87
openhcs/tui/components/__init__.py	117.37	0	14	1	0	6	8018f960
openhcs/tui/components/framed_button.py	108.89	0	76	3	3	6	01b554b3
openhcs/tui/components/spinner.py	112.06	0	125	5	14	11	37ae44c9
openhcs/tui/components/loading_screen.py	110.06	0	147	6	12	11	8c2e3e5f
openhcs/tui/components/grouped_dropdown.py	112.01	0	130	9	11	9	149ebe30
openhcs/tui/components/parameter_editor.py	110.80	0	244	15	18	10	43ff1114
openhcs/tui/commands/__init__.py	117.69	1	28	1	0	4	521d9ce9
openhcs/tui/commands/pipeline_commands.py	102.32	0	398	31	3	7	71038bf7
openhcs/tui/commands/registry.py	107.91	0	139	12	7	3	c6427198
openhcs/tui/commands/dialog_commands.py	111.25	0	163	10	3	8	a3c4909c
openhcs/tui/commands/plate_commands.py	107.97	0	191	11	3	11	145a282a
openhcs/tui/services/external_editor_service.py	110.37	3	148	15	5	9	4e19c115
openhcs/tui/services/plate_validation.py	107.77	2	258	16	7	11	8f24134d
openhcs/tui/utils/dialog_helpers.py	113.16	1	182	7	9	6	6ea7fdf5
openhcs/tui/utils/__init__.py	113.33	0	28	1	0	2	14f25f2f
openhcs/tui/utils/safe_formatting.py	112.69	0	286	18	12	6	b2b470b3
openhcs/tui/utils/error_handling.py	109.11	0	125	11	5	4	2fc166bb
