framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	2	Basic	1.0	2.0	LOW
2	information	0	Basic	1.2	0.0	LOW
3	topology	0	Basic	1.3	0.0	LOW
4	spectral	12	Basic	1.4	16.8	MEDIUM
5	unified	12	Basic	1.5	18.0	MEDIUM
6	persistent	0	Ultimate	2.0	0.0	LOW
7	k_theory	1	Ultimate	1.8	1.8	LOW
8	ultimate	1	Ultimate	2.2	2.2	LOW
9	percolation	0	Advanced	1.6	0.0	LOW
10	random_matrix	2	Advanced	2.1	4.2	LOW
11	gauge	29	Advanced	1.9	55.1	HIGH
12	spin_glass	2	Advanced	1.7	3.4	LOW
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	2	Next-Gen	1.8	3.6	LOW
15	category	2	Next-Gen	2.0	4.0	LOW
16	tropical	12	Next-Gen	1.9	22.8	MEDIUM
17	advanced_combined	3	Next-Gen	2.5	7.5	LOW
